epoch,accuracy,loss,val_accuracy,val_loss
0,0.474674791097641,1.1875988245010376,0.5677233338356018,1.0552692413330078
1,0.6501522064208984,0.8578894734382629,0.5561959743499756,1.072718858718872
2,0.7320786118507385,0.693242073059082,0.5475504398345947,1.1359748840332031
3,0.7835593819618225,0.5459029078483582,0.5936599373817444,1.1531391143798828
4,0.819263756275177,0.47072115540504456,0.590778112411499,1.2068063020706177
5,0.8552449345588684,0.4030296802520752,0.5677233338356018,1.3617467880249023
6,0.8895654678344727,0.312989741563797,0.590778112411499,1.4557000398635864
7,0.9067257046699524,0.2649683654308319,0.5965417623519897,1.5271446704864502
8,0.9261001944541931,0.21568715572357178,0.5821325778961182,1.6890802383422852
9,0.9413229823112488,0.18162386119365692,0.5734870433807373,1.6348589658737183
10,0.9418765306472778,0.1789112091064453,0.5533141493797302,1.762007713317871
11,0.9515637755393982,0.15376979112625122,0.590778112411499,1.9661762714385986
12,0.9546083807945251,0.14105184376239777,0.5994236469268799,1.937963604927063
13,0.9576529264450073,0.13138370215892792,0.5965417623519897,1.8788330554962158
14,0.9330196380615234,0.17760679125785828,0.5619596838951111,2.0408194065093994
15,0.9629117250442505,0.11835546046495438,0.6051872968673706,2.0879955291748047
16,0.9623581767082214,0.10842253267765045,0.5878962278366089,2.065990447998047
17,0.9717686176300049,0.08197032660245895,0.590778112411499,2.009192943572998
18,0.9731525182723999,0.08224564790725708,0.5936599373817444,2.192927360534668
19,0.9759202599525452,0.07393520325422287,0.5850144028663635,2.3188281059265137
20,0.9706615209579468,0.08781304955482483,0.5648415088653564,2.390388011932373
21,0.9692776203155518,0.09593363106250763,0.5734870433807373,2.2195725440979004
22,0.9695543646812439,0.09475941210985184,0.5619596838951111,2.569636106491089
23,0.9725989699363708,0.07507766783237457,0.579250693321228,2.19171404838562
24,0.973429262638092,0.07282993197441101,0.579250693321228,2.5218703746795654
