epoch,accuracy,loss,val_accuracy,val_loss
0,0.37337392568588257,1.3205673694610596,0.5100864768028259,1.2456343173980713
1,0.6814281940460205,0.9394583702087402,0.6455331444740295,0.9083438515663147
2,0.7993357181549072,0.5570886135101318,0.6916426420211792,0.8198457360267639
3,0.848602294921875,0.4036236107349396,0.6714697480201721,0.7928000688552856
4,0.8920564651489258,0.31636929512023926,0.6916426420211792,0.8129091262817383
5,0.9114309549331665,0.2603882849216461,0.7060518860816956,0.8765621781349182
6,0.9308054447174072,0.21500596404075623,0.6685879230499268,0.9133092164993286
7,0.9427068829536438,0.18488337099552155,0.6714697480201721,1.0385907888412476
8,0.9546083807945251,0.15667040646076202,0.6829971075057983,1.0392652750015259
9,0.9606974720954895,0.13473616540431976,0.680115282535553,1.0691310167312622
10,0.9629117250442505,0.1201188787817955,0.6887608170509338,1.1255555152893066
11,0.9651259183883667,0.11111708730459213,0.680115282535553,1.2081512212753296
12,0.9698311686515808,0.09967575967311859,0.680115282535553,1.2043805122375488
13,0.9717686176300049,0.09987097978591919,0.6685879230499268,1.3063088655471802
14,0.9698311686515808,0.0948442816734314,0.680115282535553,1.2389525175094604
15,0.972045361995697,0.08567406982183456,0.6685879230499268,1.2980318069458008
16,0.975089967250824,0.07855311781167984,0.6685879230499268,1.3009039163589478
17,0.974259614944458,0.07840282469987869,0.6858789920806885,1.3596323728561401
18,0.976473867893219,0.0749160498380661,0.6858789920806885,1.3922659158706665
19,0.9784113168716431,0.06595150381326675,0.6541786789894104,1.445261001586914
20,0.9773041605949402,0.07031148672103882,0.6829971075057983,1.4100110530853271
21,0.9778577089309692,0.06951997429132462,0.6628242135047913,1.4256484508514404
22,0.9761970639228821,0.06423589587211609,0.6657060384750366,1.4216216802597046
23,0.9778577089309692,0.0646994560956955,0.6685879230499268,1.4941757917404175
24,0.9784113168716431,0.05905838683247566,0.6657060384750366,1.4659230709075928
